=== /home/yugabyte/yb_data/data/yb-data/tserver/logs/initdb.log (0 lines)
=== /home/yugabyte/yb_data/data/yb-data/tserver/logs/postgresql-2026-09-14_170014.log (2583 lines)
9:2026-09-14 17:00:14.231 UTC [410] FATAL:  the database system is starting up
506:2026-09-14 17:01:22.234 UTC [1585] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
507:2026-09-14 17:01:22.234 UTC [1585] DETAIL:  aa8197c4-a901-4673-8bba-8c37afa1ff88 conflicts with higher priority transaction (our pri: 18446744072551934426, their pri: 18446744073709551615): 3475259e-18fd-4c60-affe-6727be3c353d [read committed]
694:2026-09-14 17:01:42.301 UTC [1852] FATAL:  connection to client lost
715:2026-09-14 17:01:53.940 UTC [2005] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
716:2026-09-14 17:01:53.940 UTC [2005] DETAIL:  a644e24c-7c9e-47f2-94ec-2bd1519ab418 conflicts with higher priority transaction (our pri: 18446744072441521525, their pri: 18446744073709551615): d3ecee52-91b7-4f40-a648-f1e65bbc4800 [read committed]
718:2026-09-14 17:01:53.944 UTC [2005] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
719:2026-09-14 17:01:53.944 UTC [2005] DETAIL:  699a7b52-d2c0-4575-9d6e-c3433bc2f154 conflicts with higher priority transaction (our pri: 18446744071258265822, their pri: 18446744073709551615): d3ecee52-91b7-4f40-a648-f1e65bbc4800 [read committed]
721:2026-09-14 17:01:53.947 UTC [2005] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
722:2026-09-14 17:01:53.947 UTC [2005] DETAIL:  d28ec393-af87-4c55-af0b-94aad7a70cd0 conflicts with higher priority transaction (our pri: 18446744069910319628, their pri: 18446744073709551615): d3ecee52-91b7-4f40-a648-f1e65bbc4800 [read committed]
724:2026-09-14 17:01:53.949 UTC [2005] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
725:2026-09-14 17:01:53.949 UTC [2005] DETAIL:  030d7848-a471-4ad6-9bf2-28fa79e64581 conflicts with higher priority transaction (our pri: 18446744070775707396, their pri: 18446744073709551615): d3ecee52-91b7-4f40-a648-f1e65bbc4800 [read committed]
727:2026-09-14 17:01:53.953 UTC [2005] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
728:2026-09-14 17:01:53.953 UTC [2005] DETAIL:  8222c117-fbb9-444c-9d53-9113998260ff conflicts with higher priority transaction (our pri: 18446744072129161308, their pri: 18446744073709551615): d3ecee52-91b7-4f40-a648-f1e65bbc4800 [read committed]
730:2026-09-14 17:01:53.957 UTC [2005] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
731:2026-09-14 17:01:53.957 UTC [2005] DETAIL:  5f72b173-c89b-4537-8c5e-85ec02b754e3 conflicts with higher priority transaction (our pri: 18446744072468040762, their pri: 18446744073709551615): d3ecee52-91b7-4f40-a648-f1e65bbc4800 [read committed]
1008:2026-09-14 17:02:34.296 UTC [2431] FATAL:  connection to client lost
1097:2026-09-14 17:02:42.869 UTC [2572] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
1098:2026-09-14 17:02:42.869 UTC [2572] DETAIL:  490be860-53e2-4e33-a9dc-0fff513bc5ff conflicts with higher priority transaction (our pri: 18446744070220036910, their pri: 18446744073709551615): 538cdc54-201c-4e03-bb7d-73c95e2e2e08 [read committed]
1100:2026-09-14 17:02:42.872 UTC [2572] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
1101:2026-09-14 17:02:42.872 UTC [2572] DETAIL:  9cbe38e7-8f19-4062-af1a-889ceefd4acb conflicts with higher priority transaction (our pri: 18446744070554457234, their pri: 18446744073709551615): 538cdc54-201c-4e03-bb7d-73c95e2e2e08 [read committed]
1103:2026-09-14 17:02:42.874 UTC [2572] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
1104:2026-09-14 17:02:42.874 UTC [2572] DETAIL:  312e80c2-b73c-40d2-a682-dfe3cc6545f5 conflicts with higher priority transaction (our pri: 18446744070164025459, their pri: 18446744073709551615): 538cdc54-201c-4e03-bb7d-73c95e2e2e08 [read committed]
1106:2026-09-14 17:02:42.876 UTC [2572] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
1107:2026-09-14 17:02:42.876 UTC [2572] DETAIL:  38bf37cf-480d-482b-8c97-7cdec56de29d conflicts with higher priority transaction (our pri: 18446744071709336240, their pri: 18446744073709551615): 538cdc54-201c-4e03-bb7d-73c95e2e2e08 [read committed]
1109:2026-09-14 17:02:42.879 UTC [2572] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
1110:2026-09-14 17:02:42.879 UTC [2572] DETAIL:  92b20170-72bb-4aa5-b5f2-b7c300360d81 conflicts with higher priority transaction (our pri: 18446744070870192303, their pri: 18446744073709551615): 538cdc54-201c-4e03-bb7d-73c95e2e2e08 [read committed]
1112:2026-09-14 17:02:42.882 UTC [2572] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
1113:2026-09-14 17:02:42.882 UTC [2572] DETAIL:  93c879b1-8841-430c-b827-d9a0c965466d conflicts with higher priority transaction (our pri: 18446744069433134179, their pri: 18446744073709551615): 538cdc54-201c-4e03-bb7d-73c95e2e2e08 [read committed]
1115:2026-09-14 17:02:42.885 UTC [2572] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
1116:2026-09-14 17:02:42.885 UTC [2572] DETAIL:  271540a7-5aab-4e62-8bc4-e915a6ee2a8f conflicts with higher priority transaction (our pri: 18446744073093656391, their pri: 18446744073709551615): 538cdc54-201c-4e03-bb7d-73c95e2e2e08 [read committed]
1118:2026-09-14 17:02:42.888 UTC [2572] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
1119:2026-09-14 17:02:42.888 UTC [2572] DETAIL:  d192afe1-9901-4fe0-8359-ab9d74c8c974 conflicts with higher priority transaction (our pri: 18446744072057624159, their pri: 18446744073709551615): 538cdc54-201c-4e03-bb7d-73c95e2e2e08 [read committed]
1344:2026-09-14 17:03:11.182 UTC [2919] FATAL:  connection to client lost
1364:2026-09-14 17:03:27.616 UTC [3049] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
1365:2026-09-14 17:03:27.616 UTC [3049] DETAIL:  761afd60-98eb-4647-a5c5-3967451c2e18 conflicts with higher priority transaction (our pri: 18446744071053428809, their pri: 18446744073709551615): ea1b7996-82cc-4d2f-a3e8-36206b016bc3 [read committed]
1367:2026-09-14 17:03:27.620 UTC [3049] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
1368:2026-09-14 17:03:27.620 UTC [3049] DETAIL:  3ff9fa9d-dc2a-4c9c-9a6d-33e449b3b073 conflicts with higher priority transaction (our pri: 18446744069567488843, their pri: 18446744073709551615): ea1b7996-82cc-4d2f-a3e8-36206b016bc3 [read committed]
1370:2026-09-14 17:03:27.625 UTC [3049] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
1371:2026-09-14 17:03:27.625 UTC [3049] DETAIL:  4657ae14-372f-46c8-853e-1dc8cfb0e8a1 conflicts with higher priority transaction (our pri: 18446744070638238005, their pri: 18446744073709551615): ea1b7996-82cc-4d2f-a3e8-36206b016bc3 [read committed]
1373:2026-09-14 17:03:27.630 UTC [3049] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
1374:2026-09-14 17:03:27.630 UTC [3049] DETAIL:  47c743ea-705f-4cef-979a-3a8b946c4954 conflicts with higher priority transaction (our pri: 18446744069567945563, their pri: 18446744073709551615): ea1b7996-82cc-4d2f-a3e8-36206b016bc3 [read committed]
1376:2026-09-14 17:03:27.632 UTC [3049] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
1377:2026-09-14 17:03:27.632 UTC [3049] DETAIL:  22407eca-2850-4fc5-a691-6b9378aaf609 conflicts with higher priority transaction (our pri: 18446744071695105381, their pri: 18446744073709551615): ea1b7996-82cc-4d2f-a3e8-36206b016bc3 [read committed]
1459:2026-09-14 17:03:40.800 UTC [3165] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
1460:2026-09-14 17:03:40.800 UTC [3165] DETAIL:  04425f4d-b533-4609-9052-d790e9c14430 conflicts with higher priority transaction (our pri: 18446744073213291247, their pri: 18446744073709551615): f37daae0-a8ba-4a51-aa53-fc5bf71d690b [read committed]
1462:2026-09-14 17:03:40.804 UTC [3165] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
1463:2026-09-14 17:03:40.804 UTC [3165] DETAIL:  3ec6acc3-5755-40e0-a857-c21a1136ab97 conflicts with higher priority transaction (our pri: 18446744073392112489, their pri: 18446744073709551615): f37daae0-a8ba-4a51-aa53-fc5bf71d690b [read committed]
1467:2026-09-14 17:03:40.845 UTC [3177] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
1468:2026-09-14 17:03:40.845 UTC [3177] DETAIL:  263dc9dc-2783-4b85-8305-8281bdaf361c conflicts with higher priority transaction (our pri: 18446744071668825720, their pri: 18446744073709551615): f37daae0-a8ba-4a51-aa53-fc5bf71d690b [read committed]
1470:2026-09-14 17:03:40.848 UTC [3177] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
1471:2026-09-14 17:03:40.848 UTC [3177] DETAIL:  c3e0beef-6140-4e8d-8953-13cf97659955 conflicts with higher priority transaction (our pri: 18446744073341382293, their pri: 18446744073709551615): f37daae0-a8ba-4a51-aa53-fc5bf71d690b [read committed]
1473:2026-09-14 17:03:40.852 UTC [3177] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
1474:2026-09-14 17:03:40.852 UTC [3177] DETAIL:  d7857025-8a5f-4cbd-a792-37716af16854 conflicts with higher priority transaction (our pri: 18446744070665187277, their pri: 18446744073709551615): f37daae0-a8ba-4a51-aa53-fc5bf71d690b [read committed]
1476:2026-09-14 17:03:40.856 UTC [3177] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
1477:2026-09-14 17:03:40.856 UTC [3177] DETAIL:  63deb75c-e09a-4c91-a74d-de85e3a930bf conflicts with higher priority transaction (our pri: 18446744071775215884, their pri: 18446744073709551615): f37daae0-a8ba-4a51-aa53-fc5bf71d690b [read committed]
1479:2026-09-14 17:03:40.860 UTC [3177] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
1480:2026-09-14 17:03:40.860 UTC [3177] DETAIL:  e7f3a57f-b726-48e0-bf23-1a3b74eb9569 conflicts with higher priority transaction (our pri: 18446744071462627403, their pri: 18446744073709551615): f37daae0-a8ba-4a51-aa53-fc5bf71d690b [read committed]
1674:2026-09-14 17:04:09.580 UTC [3500] FATAL:  connection to client lost
1694:2026-09-14 17:04:13.760 UTC [3621] ERROR:  current transaction is expired or aborted (query layer retries not possible for ANALYZE commands)
1695:2026-09-14 17:04:13.760 UTC [3621] DETAIL:  Transaction aborted: eb0d42f3-b102-4848-af59-75898a1c9eed [read committed]
1697:2026-09-14 17:04:13.769 UTC [3621] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
1698:2026-09-14 17:04:13.769 UTC [3621] DETAIL:  f3ded3d8-0a32-42ee-86ee-48bc8b5d492e conflicts with higher priority transaction (our pri: 18446744072466714271, their pri: 18446744073709551615): dc279a52-c298-44ea-814d-311b96300286 [read committed]
1700:2026-09-14 17:04:13.778 UTC [3621] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
1701:2026-09-14 17:04:13.778 UTC [3621] DETAIL:  e384a00e-9dd5-4fde-8b7a-abfe25d48e3c conflicts with higher priority transaction (our pri: 18446744069859524025, their pri: 18446744073709551615): dc279a52-c298-44ea-814d-311b96300286 [read committed]
1703:2026-09-14 17:04:13.787 UTC [3621] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
1704:2026-09-14 17:04:13.787 UTC [3621] DETAIL:  ef803e48-597e-468b-a1ba-500b2c31cb71 conflicts with higher priority transaction (our pri: 18446744073371162933, their pri: 18446744073709551615): dc279a52-c298-44ea-814d-311b96300286 [read committed]
1706:2026-09-14 17:04:13.793 UTC [3621] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
1707:2026-09-14 17:04:13.793 UTC [3621] DETAIL:  54c62849-9d2f-43a7-a061-3dd669362b54 conflicts with higher priority transaction (our pri: 18446744072083718653, their pri: 18446744073709551615): dc279a52-c298-44ea-814d-311b96300286 [read committed]
1709:2026-09-14 17:04:13.796 UTC [3621] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
1710:2026-09-14 17:04:13.796 UTC [3621] DETAIL:  f95a54c8-9544-41fd-945c-c35f729a3b40 conflicts with higher priority transaction (our pri: 18446744070761175350, their pri: 18446744073709551615): dc279a52-c298-44ea-814d-311b96300286 [read committed]
1800:2026-09-14 17:04:27.579 UTC [3746] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
1801:2026-09-14 17:04:27.579 UTC [3746] DETAIL:  caf6cd79-985b-4570-b13b-4fc6f95236cc conflicts with higher priority transaction (our pri: 18446744070088585370, their pri: 18446744073709551615): 7a026fba-daaf-4163-88dd-1eedc8961dee [read committed]
1803:2026-09-14 17:04:27.586 UTC [3746] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
1804:2026-09-14 17:04:27.586 UTC [3746] DETAIL:  5d8a3e10-cdb2-4ca6-9993-42b5b15703e3 conflicts with higher priority transaction (our pri: 18446744069639494889, their pri: 18446744073709551615): 7a026fba-daaf-4163-88dd-1eedc8961dee [read committed]
1807:2026-09-14 17:04:27.649 UTC [3746] ERROR:  current transaction is expired or aborted (query layer retries not possible for ANALYZE commands)
1808:2026-09-14 17:04:27.649 UTC [3746] DETAIL:  Transaction aborted: f5e39860-a169-41d0-817d-918628b17b83 [read committed]
1947:2026-09-14 17:04:38.203 UTC [3987] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
1948:2026-09-14 17:04:38.203 UTC [3987] DETAIL:  38a4ba06-76c0-4b72-ac3d-2c39030d12b6 conflicts with higher priority transaction (our pri: 18446744070704682325, their pri: 18446744073709551615): 9e801ab2-8b06-4127-b8db-d5ad6e42ffe3 [read committed]
1950:2026-09-14 17:04:38.205 UTC [3987] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
1951:2026-09-14 17:04:38.205 UTC [3987] DETAIL:  35e99037-998d-446d-8b48-9a95ecb6d93a conflicts with higher priority transaction (our pri: 18446744072828927343, their pri: 18446744073709551615): 9e801ab2-8b06-4127-b8db-d5ad6e42ffe3 [read committed]
2285:2026-09-14 17:05:51.179 UTC [4786] ERROR:  current transaction is expired or aborted (query layer retries not possible for ANALYZE commands)
2286:2026-09-14 17:05:51.179 UTC [4786] DETAIL:  Transaction aborted: 143a7bf7-e301-478d-a507-3fd5b22cf2b3 [read committed]
2288:2026-09-14 17:05:51.184 UTC [4786] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
2289:2026-09-14 17:05:51.184 UTC [4786] DETAIL:  7d7677d6-66dc-4a44-9ca7-519487456bc8 conflicts with higher priority transaction (our pri: 18446744072907555635, their pri: 18446744073709551615): 9c5ed232-f4e4-4daa-bd21-0064ec8f2c9c [read committed]
2291:2026-09-14 17:05:51.188 UTC [4786] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
2292:2026-09-14 17:05:51.188 UTC [4786] DETAIL:  d312a8ce-1a97-4913-b305-340c5388fa7c conflicts with higher priority transaction (our pri: 18446744069679535274, their pri: 18446744073709551615): 9c5ed232-f4e4-4daa-bd21-0064ec8f2c9c [read committed]
2294:2026-09-14 17:05:51.193 UTC [4786] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
2295:2026-09-14 17:05:51.193 UTC [4786] DETAIL:  2c88dc97-8a4f-4adc-aacf-7b588b731b9a conflicts with higher priority transaction (our pri: 18446744071370233480, their pri: 18446744073709551615): 9c5ed232-f4e4-4daa-bd21-0064ec8f2c9c [read committed]
2297:2026-09-14 17:05:51.197 UTC [4786] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
2298:2026-09-14 17:05:51.197 UTC [4786] DETAIL:  be3ed630-db8f-42a7-a621-23f6f3d4a3fc conflicts with higher priority transaction (our pri: 18446744072438995453, their pri: 18446744073709551615): 9c5ed232-f4e4-4daa-bd21-0064ec8f2c9c [read committed]
2300:2026-09-14 17:05:51.200 UTC [4786] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
2301:2026-09-14 17:05:51.200 UTC [4786] DETAIL:  aa8d42a2-2f32-4e89-a09f-eb692943bc00 conflicts with higher priority transaction (our pri: 18446744072903772760, their pri: 18446744073709551615): 9c5ed232-f4e4-4daa-bd21-0064ec8f2c9c [read committed]
2303:2026-09-14 17:05:51.204 UTC [4786] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
2304:2026-09-14 17:05:51.204 UTC [4786] DETAIL:  943ad785-7a99-4e9d-a82d-863d66fbfe35 conflicts with higher priority transaction (our pri: 18446744073100765924, their pri: 18446744073709551615): 9c5ed232-f4e4-4daa-bd21-0064ec8f2c9c [read committed]
2306:2026-09-14 17:05:51.232 UTC [4786] ERROR:  could not serialize access due to concurrent update (query layer retries not possible for ANALYZE commands)
2307:2026-09-14 17:05:51.232 UTC [4786] DETAIL:  7d13dc10-cc6a-44c1-89cb-144705ae682d conflicts with higher priority transaction (our pri: 18446744073028350509, their pri: 18446744073709551615): 9c5ed232-f4e4-4daa-bd21-0064ec8f2c9c [read committed]
=== /home/yugabyte/yb_data/logs/yugabyted.log (165 lines)
1:[yugabyted start] 2026-09-14 17:00:01,594 INFO:  | 0.0s | Running yugabyted command: 'bin/yugabyted start --background=false --advertise_address=yb-single --base_dir=/home/yugabyte/yb_data --callhome=false --tserver_flags=memory_limit_hard_bytes=1610612736,ysql_num_shards_per_tserver=2,yb_num_shards_per_tserver=2,yb_enable_read_committed_isolation=true,enable_wait_queues=false --master_flags=memory_limit_hard_bytes=536870912'
41:[yugabyted start] 2026-09-14 17:00:12,341 INFO:  | 10.8s | About to start tserver with cmd /home/yugabyte/bin/yb-tserver --stop_on_parent_termination --undefok=stop_on_parent_termination --fs_data_dirs=/home/yugabyte/yb_data/data --webserver_interface=yb-single --metrics_snapshotter_tserver_metrics_whitelist=handler_latency_yb_tserver_TabletServerService_Read_count,handler_latency_yb_tserver_TabletServerService_Write_count,handler_latency_yb_tserver_TabletServerService_Read_sum,handler_latency_yb_tserver_TabletServerService_Write_sum,disk_usage,cpu_usage,node_up --yb_num_shards_per_tserver=1 --ysql_num_shards_per_tserver=1 --placement_cloud=cloud1 --placement_region=datacenter1 --placement_zone=rack1 --use_memory_defaults_optimized_for_ysql=true --rpc_bind_addresses=yb-single:9100 --server_broadcast_addresses=yb-single:9100 --cql_proxy_bind_address=yb-single:9042 --server_dump_info_path=/home/yugabyte/yb_data/data/tserver-info --start_pgsql_proxy --pgsql_proxy_bind_address=yb-single:5433 --tserver_enable_metrics_snapshotter=true --metrics_snapshotter_interval_ms=11000 --webserver_port=9000 --instance_uuid_override=800b5f31e3f24e1ab1d9f730555431e3 --start_redis_proxy=false --placement_uuid=5cb59ca7-b697-450d-9032-be701130de30 --memory_limit_hard_bytes=1610612736 --ysql_num_shards_per_tserver=2 --yb_num_shards_per_tserver=2 --yb_enable_read_committed_isolation=true --enable_wait_queues=false --ysql_pg_conf_csv=yb_enable_cbo=on --use_node_hostname_for_local_tserver=true --tserver_master_addrs=yb-single:7100
144:[yugabyted start] 2026-09-14 17:00:14,655 INFO:  | 13.1s | pg_isready error: 
=== /home/yugabyte/yb_data/logs/tserver.err (10 lines)
4:2026-09-14 17:00:13.925 GMT [402] WARNING:  the parameter "yb_silence_advisory_locks_not_supported_error" is deprecated and has no effect. 
=== /home/yugabyte/yb_data/logs/master.err (1 lines)
=== /home/yugabyte/yb_data/logs/master.out (0 lines)
=== /home/yugabyte/yb_data/logs/tserver.out (0 lines)
=== /home/yugabyte/yb_data/logs/yugabyted-ui.err (1 lines)
=== /home/yugabyte/yb_data/logs/yugabyted-ui.out (13 lines)
13:2026-09-14T17:00:14.895Z	info	server/main.go:193	main.main.func2	request	{"time": "2026-09-14T17:00:14.894640033Z", "id": "", "remote_ip": "10.89.0.92", "host": "yb-single:15433", "method": "GET", "URI": "/", "user_agent": "Python-urllib/3.11", "status": 200, "error": "", "latency": 521466, "latency_human": "521ns", "bytes_in": 0, "bytes_out": 3012}
